1000,0.003684
2000,0.004486
3000,0.005316
4000,0.00627
5000,0.007335
6000,0.008524
7000,0.009877
8000,0.010919
9000,0.011832
10000,0.012809
11000,0.013748
12000,0.014646
13000,0.015761
14000,0.016862
15000,0.018043
16000,0.01925
17000,0.020542
18000,0.021905
19000,0.022955
20000,0.024137
21000,0.025307
22000,0.026439
23000,0.027449
24000,0.028623
25000,0.030042
26000,0.031332
27000,0.032808
28000,0.034074
29000,0.035533
30000,0.037121
31000,0.039143
32000,0.04059
33000,0.041907
34000,0.043085
35000,0.044171
36000,0.045646
37000,0.04708
38000,0.048369
39000,0.049555
40000,0.05103
41000,0.052275
42000,0.053315
43000,0.054319
44000,0.055313
45000,0.056371
46000,0.057379
47000,0.058829
48000,0.06018
49000,0.061578
50000,0.062937
51000,0.064226
52000,0.065495
53000,0.067266
54000,0.068511
55000,0.06964
56000,0.07085
57000,0.07211
58000,0.073248
59000,0.074416
60000,0.075631
61000,0.077229
62000,0.078737
63000,0.080357
64000,0.082392
65000,0.085003
66000,0.087373
67000,0.089553
68000,0.091361
69000,0.092954
70000,0.094656
71000,0.096448
72000,0.098144
73000,0.100094
74000,0.101839
75000,0.104068
76000,0.10611
77000,0.107602
78000,0.108872
79000,0.110809
80000,0.112531
81000,0.114239
82000,0.116334
83000,0.118018
84000,0.119679
85000,0.121174
86000,0.122547
87000,0.123881
88000,0.125178
89000,0.12663
90000,0.12807
91000,0.129993
92000,0.131711
93000,0.133167
94000,0.134554
95000,0.135923
96000,0.137197
97000,0.138524
98000,0.140211
99000,0.141598
